at,elapsed_s,event,version,uptime_ms,blit_timeouts,tx_sent,tx_timeouts,tx_drops,rx_malformed,loop_gap_max_ms,loop_gap_max_mark,scan_rate,count_ge_10ms,count_ge_25ms,count_ge_25ms_nonflash,passes,flash_writes,flash_gap_max_ms,blit_gap_max_ms,i2c_gap_max_ms,key_presses,row_gap_max_ms,isr_per_s,isr_cpu_pct,isr_max_us,wdt_consecutive_resets,wdt_fired_last_boot,wr_valid,wr_site,wr_parent,wr_last_pass_uptime_ms,wr_boot_rstst
2026-09-22 21:05:32,2,start,6,25401682,11,5078,2442,0,0,21,blit,327,87,0,0,8074554,802,5,21,0,7959,10,3907.5,72.7,298.7,0,False,False,none,none,0,1
2026-09-22 21:06:05,34,,6,25434532,11,5085,2445,0,0,21,blit,239,92,0,0,8084373,805,5,21,0,7961,10,3900.5,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:06:35,64,,6,25464525,11,5091,2448,0,0,21,blit,239,104,0,0,8091593,808,6,21,0,7961,10,3900.4,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:07:05,94,,6,25494522,11,5097,2451,0,0,21,blit,303,116,0,0,8099524,810,6,21,0,8027,10,3903.4,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:07:35,124,,6,25524518,11,5103,2454,0,0,21,blit,223,158,0,0,8107168,812,6,21,0,8079,10,3898.5,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:08:05,154,,6,25554528,11,5109,2457,0,0,21,blit,261,172,0,0,8114839,814,6,21,0,8079,10,3899.1,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:08:35,185,,6,25584527,11,5115,2460,0,0,21,blit,280,181,0,0,8123506,816,6,21,0,8089,10,3907.4,72.7,298.7,0,False,False,none,none,0,1
2026-09-22 21:09:05,215,,6,25614515,11,5121,2463,0,0,21,blit,241,193,0,0,8131711,818,6,21,0,8133,10,3898.5,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:09:35,245,,6,25644517,11,5127,2466,0,0,21,blit,227,209,0,0,8138724,820,6,21,0,8315,10,3900.0,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:10:05,275,,6,25674510,11,5133,2469,0,0,21,blit,305,229,0,0,8146397,822,6,21,0,8535,10,3906.3,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:10:35,305,,6,25704503,11,5139,2472,0,0,21,blit,208,299,0,0,8153938,824,7,21,0,8667,10,3900.0,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:11:05,335,,6,25734476,11,5145,2475,0,0,21,blit,258,321,0,0,8161309,826,7,21,0,8832,10,3901.3,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:11:35,365,,6,25764468,11,5151,2478,0,0,21,blit,301,335,0,0,8169856,828,7,21,0,8832,10,3906.0,72.7,298.7,0,False,False,none,none,0,1
2026-09-22 21:12:05,395,,6,25794466,11,5157,2481,0,0,21,blit,244,348,0,0,8178049,830,8,21,0,8832,10,3900.5,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:12:35,425,,6,25824450,11,5163,2485,0,0,21,blit,225,362,0,0,8185306,832,8,21,0,8846,10,3899.6,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:13:05,455,,6,25854438,11,5169,2488,0,0,21,blit,313,381,0,0,8192892,834,8,21,0,9044,10,3905.8,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:13:35,485,,6,25884428,11,5175,2491,0,0,21,blit,237,408,0,0,8200805,836,8,21,0,9158,10,3912.0,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:14:05,515,,6,25914406,11,5181,2494,0,0,21,blit,246,424,0,0,8208349,838,8,21,0,9176,10,3898.4,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:14:35,545,,6,25944408,11,5187,2497,0,0,21,blit,309,439,0,0,8216891,840,8,21,0,9246,10,3909.2,72.7,298.7,0,False,False,none,none,0,1
2026-09-22 21:15:05,575,,6,25974403,11,5193,2500,0,0,21,blit,245,451,0,0,8225341,842,8,21,0,9246,10,3899.2,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:15:35,605,,6,26004371,11,5199,2503,0,0,21,blit,243,466,0,0,8232621,844,8,21,0,9246,10,3900.4,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:16:05,635,,6,26034362,11,5205,2506,0,0,21,blit,299,482,0,0,8240396,846,8,21,0,9327,10,3904.4,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:16:35,665,,6,26064347,11,5211,2509,0,0,21,blit,239,496,0,0,8248465,848,8,21,0,9327,10,3911.5,72.6,298.7,0,False,False,none,none,0,1
2026-09-22 21:17:05,695,,6,26094316,11,5217,2512,0,0,21,blit,255,512,0,0,8256163,850,8,21,0,9327,10,3899.5,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:17:35,725,,6,26124316,11,5223,2515,0,0,21,blit,283,526,0,0,8264498,852,8,21,0,9528,10,3907.4,72.7,298.7,0,False,False,none,none,0,1
2026-09-22 21:18:05,755,,6,26154304,11,5229,2518,0,0,21,blit,247,544,0,0,8272795,854,8,21,0,9683,10,3898.6,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:18:35,785,,6,26184292,11,5235,2521,0,0,21,blit,241,560,0,0,8280081,856,8,21,0,9711,10,3899.3,72.5,298.7,0,False,False,none,none,0,1
2026-09-22 21:19:03,812,watchdog: lcd_transfer within text,6,2617,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,7,3860.0,71.8,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:19:36,845,,6,35063,0,6,1,0,0,12,none,246,29,0,0,6967,3,3,10,0,68,10,3902.1,72.6,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:19:40,849,watchdog: lcd_transfer within text,6,39128,0,7,1,0,0,12,none,241,35,0,0,7977,3,3,11,0,84,10,3901.1,72.5,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:20:12,881,,6,71546,0,13,3,0,0,16,blit,268,54,0,0,16814,6,5,16,0,181,10,3899.0,72.6,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:20:42,911,,6,101547,0,19,6,0,0,46,flash,314,63,1,0,25439,8,46,16,0,292,12,3908.0,72.7,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:21:12,941,,6,131535,0,25,9,0,0,46,flash,246,72,1,0,34233,10,46,16,0,303,12,3899.9,72.6,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:21:42,971,,6,161499,0,31,12,0,0,46,flash,239,88,1,0,41663,12,46,16,0,306,12,3899.5,72.5,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:22:12,1001,,6,191484,0,37,15,0,0,46,flash,314,97,1,0,49498,14,46,16,0,356,12,3902.4,72.6,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:22:42,1031,,6,221469,0,43,19,0,0,46,flash,247,161,1,0,57591,16,46,16,0,529,12,3898.5,72.5,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:23:12,1061,,6,251457,0,49,22,0,0,46,flash,261,179,1,0,65064,18,46,16,0,705,12,3898.2,72.5,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:23:42,1091,,6,281447,0,55,25,0,0,46,flash,304,187,1,0,73572,20,46,16,0,789,12,3907.9,72.7,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:24:12,1121,,6,311427,0,61,28,0,0,46,flash,247,197,1,0,82327,22,46,16,0,795,12,3897.3,72.5,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:24:42,1151,,6,341425,0,67,31,0,0,46,flash,250,205,1,0,89710,24,46,16,0,795,12,3899.6,72.5,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:25:12,1181,,6,371421,0,73,34,0,0,46,flash,311,220,1,0,97605,26,46,16,0,795,12,3905.5,72.6,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:25:42,1211,,6,401407,0,79,37,0,0,46,flash,238,227,1,0,106037,28,46,16,0,795,12,3912.8,72.7,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:26:12,1241,,6,431386,0,85,40,0,0,46,flash,272,238,1,0,113841,30,46,16,0,795,12,3898.8,72.5,304.0,1,True,True,lcd_transfer,text,26197368,3
2026-09-22 21:26:42,1271,,6,461390,0,91,43,0,0,46,flash,294,245,1,0,122603,32,46,16,0,795,12,3905.4,72.6,304.0,1,True,True,lcd_transfer,text,26197368,3
