at,elapsed_s,event,version,uptime_ms,blit_timeouts,tx_sent,tx_timeouts,tx_drops,rx_malformed,loop_gap_max_ms,loop_gap_max_mark,scan_rate,count_ge_10ms,count_ge_25ms,count_ge_25ms_nonflash,passes,flash_writes,flash_gap_max_ms,blit_gap_max_ms,i2c_gap_max_ms,key_presses,row_gap_max_ms,isr_per_s,isr_cpu_pct,isr_max_us,wdt_consecutive_resets,wdt_fired_last_boot,wr_valid,wr_site,wr_parent,wr_last_pass_uptime_ms,wr_boot_rstst,wr_pc,wr_context,v_uptime_ms,v_build_token,v_msp_free,v_psp_free,v_blits_issued,v_blit_never_started,v_blit_stalled,v_blit_irq_lost,v_blit_unknown,v_blit_busy_waits,v_blit_retry_successes
2026-09-23 13:01:07,2,start,7,27767,0,5,3,0,0,15,none,237,93,0,0,3690,797,0,0,0,0,9,3906.6,72.6,298.7,0,False,False,none,none,0,1,,,25736,0x0a8a1d5b,672,1264,67,0,0,0,0,0,0
2026-09-23 13:01:40,35,,7,60965,0,11,4,0,0,22,blit,187,399,0,0,10420,800,6,22,0,0,9,3899.7,72.5,298.7,0,False,False,none,none,0,1,,,58937,0x0a8a1d5b,616,1264,1767,0,0,0,0,0,0
2026-09-23 13:02:10,65,,7,90993,0,17,6,0,0,22,blit,182,697,0,0,15955,802,6,22,0,0,9,3901.9,72.6,314.7,0,False,False,none,none,0,1,,,88961,0x0a8a1d5b,616,1264,3494,0,0,0,0,0,0
2026-09-23 13:02:40,95,,7,121010,0,23,8,0,0,22,blit,224,975,0,0,21871,804,7,22,0,5,9,3902.5,72.6,314.7,0,False,False,none,none,0,1,,,118980,0x0a8a1d5b,616,1264,5101,0,0,0,0,0,0
2026-09-23 13:03:10,125,,7,151038,0,29,12,0,0,22,blit,174,1251,0,0,27757,806,7,22,0,24,9,3905.1,72.6,314.7,0,False,False,none,none,0,1,,,149003,0x0a8a1d5b,616,1264,6783,0,0,0,0,0,0
2026-09-23 13:03:40,155,,7,181010,0,35,15,0,0,22,blit,192,1540,0,0,33447,808,7,22,0,24,9,3901.1,72.5,314.7,0,False,False,none,none,0,1,,,178977,0x0a8a1d5b,616,1264,8324,0,0,0,0,0,0
2026-09-23 13:04:10,185,,7,211002,0,41,19,0,0,23,blit,212,1796,0,0,39740,810,7,23,0,24,9,3905.5,72.6,314.7,0,False,False,none,none,0,1,,,208973,0x0a8a1d5b,616,1264,10056,0,0,0,0,0,0
2026-09-23 13:04:40,215,,7,240976,0,47,22,0,0,23,blit,196,2031,0,0,46013,812,7,23,0,24,9,3898.9,72.5,314.7,0,False,False,none,none,0,1,,,238953,0x0a8a1d5b,616,1264,11636,0,0,0,0,0,0
2026-09-23 13:05:10,245,,7,270974,0,53,25,0,0,25,blit,185,2337,1,1,51495,814,7,25,0,24,9,3900.7,72.5,314.7,0,False,False,none,none,0,1,,,268952,0x0a8a1d5b,616,1264,13371,0,0,0,0,0,0
2026-09-23 13:05:40,275,,7,300960,0,59,30,0,0,25,blit,227,2623,1,1,57369,816,7,25,0,24,9,3903.3,72.6,314.7,0,False,False,none,none,0,1,,,298935,0x0a8a1d5b,616,1264,14851,0,0,0,0,0,0
2026-09-23 13:06:10,305,,7,330970,0,65,33,0,0,25,blit,186,2865,1,1,63273,818,16,25,0,24,9,3911.1,72.7,314.7,0,False,False,none,none,0,1,,,328939,0x0a8a1d5b,616,1264,16516,0,0,0,0,0,0
2026-09-23 13:06:40,335,,7,360962,0,71,36,0,0,25,blit,198,3161,1,1,68926,820,16,25,0,24,9,3897.9,72.5,314.7,0,False,False,none,none,0,1,,,358920,0x0a8a1d5b,616,1264,18124,0,0,0,0,0,0
2026-09-23 13:07:10,365,,7,390943,0,77,40,0,0,25,blit,219,3428,1,1,75183,822,16,25,0,24,9,3906.8,72.7,314.7,0,False,False,none,none,0,1,,,388911,0x0a8a1d5b,616,1264,19807,0,0,0,0,0,0
2026-09-23 13:07:40,395,,7,420911,1,83,43,0,0,28,blit,183,3669,2,2,81435,824,16,28,0,24,9,3900.7,72.6,320.0,0,False,False,none,none,0,1,,,418891,0x0a8a1d5b,616,1264,21438,1,0,0,0,0,1
2026-09-23 13:08:10,425,,7,450920,1,89,47,0,0,28,blit,189,3967,3,3,86986,826,16,28,0,24,9,3900.0,72.6,320.0,0,False,False,none,none,0,1,,,448887,0x0a8a1d5b,616,1264,23113,1,0,0,0,0,1
2026-09-23 13:08:40,455,,7,480898,1,95,50,0,0,28,blit,231,4248,3,3,92873,828,16,28,0,24,9,3902.1,72.6,320.0,0,False,False,none,none,0,1,,,478868,0x0a8a1d5b,616,1264,24703,1,0,0,0,0,1
2026-09-23 13:09:10,485,,7,510894,1,101,54,0,0,28,blit,170,4510,3,3,98813,830,16,28,0,24,9,3907.9,72.6,320.0,0,False,False,none,none,0,1,,,508867,0x0a8a1d5b,616,1264,26375,1,0,0,0,0,1
2026-09-23 13:09:40,515,,7,540897,1,107,57,0,0,28,blit,197,4802,3,3,104487,832,16,28,0,24,9,3899.4,72.6,320.0,0,False,False,none,none,0,1,,,538870,0x0a8a1d5b,616,1264,27960,1,0,0,0,0,1
2026-09-23 13:10:10,545,,7,570872,2,113,60,0,0,38,blit,213,5065,4,4,110724,834,16,38,0,24,9,3906.0,72.6,320.0,0,False,False,none,none,0,1,,,568842,0x0a8a1d5b,616,1264,29595,2,0,0,0,0,2
2026-09-23 13:10:40,575,,7,600872,2,119,64,0,0,38,blit,185,5337,4,4,116853,836,16,38,0,24,9,3901.1,72.6,320.0,0,False,False,none,none,0,1,,,598834,0x0a8a1d5b,616,1264,31192,2,0,0,0,0,2
2026-09-23 13:11:10,605,,7,630844,2,125,68,0,0,38,blit,185,5636,4,4,122275,839,16,38,0,24,9,3899.0,72.5,320.0,0,False,False,none,none,0,1,,,628817,0x0a8a1d5b,616,1264,32948,2,0,0,0,0,2
2026-09-23 13:11:40,635,,7,660833,2,131,71,0,0,38,blit,234,5924,4,4,128042,841,16,38,0,24,9,3903.3,72.6,320.0,0,False,False,none,none,0,1,,,658805,0x0a8a1d5b,616,1264,34506,2,0,0,0,0,2
2026-09-23 13:12:10,665,,7,690830,2,137,74,0,0,38,blit,177,6190,4,4,133960,843,16,38,0,24,9,3910.4,72.6,320.0,0,False,False,none,none,0,1,,,688802,0x0a8a1d5b,616,1264,36103,2,0,0,0,0,2
2026-09-23 13:12:41,695,,7,720818,2,143,77,0,0,38,blit,199,6495,4,4,139596,845,16,38,0,24,9,3901.0,72.5,320.0,0,False,False,none,none,0,1,,,718784,0x0a8a1d5b,616,1264,37644,2,0,0,0,0,2
2026-09-23 13:13:11,725,,7,750805,2,149,80,0,0,38,blit,210,6765,4,4,145797,847,16,38,0,24,9,3906.2,72.6,320.0,0,False,False,none,none,0,1,,,748782,0x0a8a1d5b,616,1264,39329,2,0,0,0,0,2
2026-09-23 13:13:41,755,,7,780802,2,155,83,0,0,38,blit,183,7043,5,5,151919,849,16,38,0,24,9,3902.3,72.6,320.0,0,False,False,none,none,0,1,,,778776,0x0a8a1d5b,616,1264,40980,2,0,0,0,0,2
2026-09-23 13:14:11,785,,7,810801,2,161,86,0,0,38,blit,179,7337,6,6,157431,851,16,38,0,24,9,3899.2,72.5,320.0,0,False,False,none,none,0,1,,,808769,0x0a8a1d5b,616,1264,42684,2,0,0,0,0,2
2026-09-23 13:14:41,815,,7,840769,2,167,89,0,0,38,blit,230,7610,6,6,163291,853,16,38,0,24,9,3901.4,72.6,320.0,0,False,False,none,none,0,1,,,838742,0x0a8a1d5b,616,1264,44287,2,0,0,0,0,2
2026-09-23 13:15:11,845,,7,870769,2,173,92,0,0,38,blit,172,7861,6,6,169232,855,16,38,0,24,9,3909.4,72.6,320.0,0,False,False,none,none,0,1,,,868745,0x0a8a1d5b,616,1264,45948,2,0,0,0,0,2
