at,pid,elapsed_h,cpu_s,private_bytes,working_set,peak_working_set,handles,threads,smtc_polls,clock_syncs,health_reads_hint
2026-09-18 13:02:13,37728,26.7167,79.9,2879488,7356416,15728640,157,6,32033,321,2026-09-18 12:59:30
2026-09-18 13:07:14,37728,26.8001,80.1,2883584,7360512,15728640,157,6,32133,322,2026-09-18 13:04:30
2026-09-18 13:12:14,37728,26.8835,80.4,2879488,7356416,15728640,157,6,32233,323,2026-09-18 13:09:30
2026-09-18 13:17:14,37728,26.9669,80.7,2883584,7360512,15728640,157,6,32334,324,2026-09-18 13:14:30
2026-09-18 13:22:15,37728,27.0506,80.9,2887680,7364608,15728640,157,6,32434,325,2026-09-18 13:19:30
2026-09-18 13:27:15,37728,27.1340,81.1,2883584,7360512,15728640,157,6,32533,326,2026-09-18 13:24:30
2026-09-18 13:32:16,37728,27.2174,81.4,2883584,7360512,15728640,157,6,32634,327,2026-09-18 13:29:30
2026-09-18 13:37:16,37728,27.3008,81.5,2883584,7360512,15728640,157,6,32733,328,2026-09-18 13:34:30
2026-09-18 13:42:17,37728,27.3844,81.8,2879488,7356416,15728640,157,6,32834,329,2026-09-18 13:39:30
2026-09-18 13:47:17,37728,27.4678,82.0,2879488,7360512,15728640,157,6,32934,330,2026-09-18 13:44:30
2026-09-18 13:52:18,37728,27.5513,82.4,2887680,7368704,15728640,157,6,33034,331,2026-09-18 13:49:30
2026-09-18 13:57:18,37728,27.6347,82.7,2883584,7364608,15728640,157,6,33134,332,2026-09-18 13:54:30
2026-09-18 14:02:19,37728,27.7183,83.0,2879488,7360512,15728640,157,6,33234,333,2026-09-18 13:59:30
2026-09-18 14:07:19,37728,27.8017,83.2,2883584,7368704,15728640,157,6,33335,334,2026-09-18 14:04:30
2026-09-18 14:12:20,37728,27.8851,83.5,2887680,7372800,15728640,157,6,33434,335,2026-09-18 14:09:30
2026-09-18 14:17:20,37728,27.9685,83.7,2883584,7368704,15728640,157,6,33534,336,2026-09-18 14:14:30
2026-09-18 14:22:21,37728,28.0522,83.9,2883584,7368704,15728640,157,6,33635,337,2026-09-18 14:19:30
2026-09-18 14:27:21,37728,28.1356,84.2,2887680,7372800,15728640,157,6,33734,338,2026-09-18 14:24:30
2026-09-18 14:32:22,37728,28.2190,84.5,2883584,7368704,15728640,157,6,33835,339,2026-09-18 14:29:30
2026-09-18 14:37:22,37728,28.3024,84.9,2879488,7364608,15728640,157,6,33935,340,2026-09-18 14:34:30
2026-09-18 14:42:23,37728,28.3860,85.0,2887680,7372800,15728640,157,6,34034,341,2026-09-18 14:39:30
2026-09-18 14:47:23,37728,28.4694,85.4,2883584,7368704,15728640,157,6,34135,342,2026-09-18 14:44:30
2026-09-18 14:52:23,37728,28.5529,85.5,2846720,7344128,15728640,155,5,34235,343,2026-09-18 14:49:30
2026-09-18 14:57:24,37728,28.6363,85.7,2879488,7364608,15728640,157,6,34335,344,2026-09-18 14:54:30
2026-09-18 15:02:25,37728,28.7199,86.1,2883584,7368704,15728640,157,6,34435,345,2026-09-18 14:59:30
2026-09-18 15:07:25,37728,28.8033,86.3,2879488,7364608,15728640,157,6,34535,346,2026-09-18 15:04:30
2026-09-18 15:12:25,37728,28.8867,86.5,2887680,7372800,15728640,157,6,34635,347,2026-09-18 15:09:30
2026-09-18 15:17:26,37728,28.9701,86.7,2879488,7364608,15728640,157,6,34735,348,2026-09-18 15:14:30
2026-09-18 15:22:27,37728,29.0537,86.9,2883584,7368704,15728640,157,6,34836,349,2026-09-18 15:19:30
2026-09-18 15:27:27,37728,29.1372,87.2,2879488,7364608,15728640,157,6,34935,350,2026-09-18 15:24:30
2026-09-18 15:32:27,37728,29.2206,87.3,2883584,7368704,15728640,157,6,35035,351,2026-09-18 15:29:30
2026-09-18 15:37:27,37728,29.3040,87.5,2883584,7368704,15728640,157,6,35136,352,2026-09-18 15:34:30
2026-09-18 15:42:28,37728,29.3876,87.8,2879488,7364608,15728640,157,6,35235,353,2026-09-18 15:39:30
2026-09-18 15:47:29,37728,29.4710,88.1,2879488,7364608,15728640,157,6,35336,354,2026-09-18 15:44:30
2026-09-18 15:52:29,37728,29.5544,88.3,2883584,7368704,15728640,157,6,35436,355,2026-09-18 15:49:30
2026-09-18 15:57:29,37728,29.6379,88.7,2879488,7364608,15728640,157,6,35535,356,2026-09-18 15:54:30
2026-09-18 16:02:30,37728,29.7215,88.9,2883584,7368704,15728640,157,6,35636,357,2026-09-18 15:59:30
2026-09-18 16:07:31,37728,29.8049,89.3,2883584,7368704,15728640,157,6,35736,358,2026-09-18 16:04:30
2026-09-18 16:12:31,37728,29.8883,89.5,2887680,7372800,15728640,157,6,35836,359,2026-09-18 16:09:30
2026-09-18 16:17:31,37728,29.9717,89.7,2883584,7368704,15728640,157,6,35936,360,2026-09-18 16:14:30
2026-09-18 16:22:32,37728,30.0553,89.9,2879488,7364608,15728640,157,6,36036,361,2026-09-18 16:19:30
2026-09-18 16:27:33,37728,30.1388,90.2,2883584,7368704,15728640,157,6,36137,362,2026-09-18 16:24:31
2026-09-18 16:32:33,37728,30.2222,90.4,2879488,7364608,15728640,157,6,36236,363,2026-09-18 16:29:31
2026-09-18 16:37:33,37728,30.3056,90.7,2887680,7372800,15728640,157,6,36337,364,2026-09-18 16:34:31
2026-09-18 16:42:34,37728,30.3892,91.0,2879488,7430144,15728640,157,6,36437,365,2026-09-18 16:39:31
2026-09-18 16:47:34,37728,30.4726,91.2,2887680,7438336,15728640,157,6,36536,366,2026-09-18 16:44:31
2026-09-18 16:52:35,37728,30.5560,91.5,2822144,7421952,15728640,157,6,36637,367,2026-09-18 16:49:31
2026-09-18 16:57:35,37728,30.6394,91.9,2883584,7434240,15728640,157,6,36736,368,2026-09-18 16:54:31
2026-09-18 17:02:36,37728,30.7230,92.2,2883584,7434240,15728640,157,6,36837,369,2026-09-18 16:59:31
